"Citation: Abatzoglou, J., R. Barbero, and N. Nauslar, 2013: Diagnosing Santa Ana winds in Southern California with synoptic-scale analysis. Wea. Forecasting. doi:10.1175/WAF-D-13-00002.1"
"Extreme Santa Ana Wind Days, 1948-2010"
Day Month Year
"1	2	1994"
"27	11	1995"
"1	1	1996"
"11	1	1996"
"28	4	1996"
"21	10	1996"
"27	11	1996"
"14	12	1996"
"15	12	1996"
"17	12	1996"
"18	12	1996"
"6	1	1997"
"7	1	1997"
"29	1	1997"
"30	1	1997"
"13	2	1997"
"10	12	1997"
"11	12	1997"
"12	12	1997"
"26	12	1997"
"28	12	1997"
"30	12	1997"
"9	12	1998"
"10	12	1998"
"16	12	1998"
"17	12	1998"
"3	1	1999"
"9	1	1999"
"28	1	1999"
"11	2	1999"
"20	2	1999"
"15	4	1999"
"17	10	1999"
"22	11	1999"
"4	12	1999"
"11	12	1999"
"14	12	1999"
"15	12	1999"
"19	12	1999"
"20	12	1999"
"22	12	1999"
"23	12	1999"
"24	12	1999"
"6	1	2000"
"31	3	2000"
"18	11	2000"
"18	12	2000"
"19	12	2000"
"25	12	2000"
"26	12	2000"
"27	12	2000"
"2	1	2001"
"3	1	2001"
"18	1	2001"
"31	1	2001"
"1	2	2001"
"8	12	2001"
"24	12	2001"
"11	1	2002"
"5	2	2002"
"9	2	2002"
"10	2	2002"
"26	2	2002"
"26	11	2002"
"6	1	2003"
"7	1	2003"
"28	3	2003"
"25	10	2003"
"26	10	2003"
"23	11	2003"
"17	1	2004"
"22	1	2004"
"10	2	2004"
"11	2	2004"
"12	2	2004"
"11	3	2004"
"1	11	2004"
"16	12	2004"
"18	12	2004"
"2	2	2005"
"3	2	2005"
"15	11	2005"
"16	11	2005"
"18	11	2005"
"5	12	2005"
"5	1	2006"
"9	1	2006"
"23	1	2006"
"24	1	2006"
"6	2	2006"
"11	2	2006"
"29	11	2006"
"30	11	2006"
"2	12	2006"
"3	12	2006"
"7	12	2006"
"23	12	2006"
"29	12	2006"
"30	12	2006"
"2	1	2007"
"6	1	2007"
"7	1	2007"
"8	1	2007"
"15	1	2007"
"16	1	2007"
"19	1	2007"
"22	1	2007"
"24	1	2007"
"21	10	2007"
"22	10	2007"
"24	11	2007"
"22	12	2007"
"25	12	2007"
"31	12	2007"
"1	1	2008"
"14	1	2008"
"16	1	2008"
"17	1	2008"
"22	10	2008"
"7	11	2008"
"15	11	2008"
"10	1	2009"
"12	1	2009"
"13	1	2009"
"14	1	2009"
"15	1	2009"
"18	1	2009"
"29	1	2009"
"30	1	2009"
"1	10	2009"
"24	11	2009"
"25	11	2009"
"19	12	2009"
"24	12	2009"
"15	1	2010"
"25	11	2010"
